timestamp,windspeed_north,windspeed_east,covariance_north,covariance_east
465320201,0.0,0.0,0.0,0.0
465419704,0.0,0.0,0.0,0.0
465524216,0.0,0.0,0.0,0.0
465625202,0.0,0.0,0.0,0.0
465724632,0.0,0.0,0.0,0.0
465824598,0.0,0.0,0.0,0.0
465930631,0.0,0.0,0.0,0.0
466028504,0.0,0.0,0.0,0.0
466132650,0.0,0.0,0.0,0.0
466232612,0.0,0.0,0.0,0.0
466333568,0.0,0.0,0.0,0.0
466436662,0.0,0.0,0.0,0.0
466538106,0.0,0.0,0.0,0.0
466638566,0.0,0.0,0.0,0.0
466740443,0.0,0.0,0.0,0.0
466842298,0.0,0.0,0.0,0.0
466943724,0.0,0.0,0.0,0.0
467043696,0.0,0.0,0.0,0.0
467147683,0.0,0.0,0.0,0.0
467248348,0.0,0.0,0.0,0.0
467347950,0.0,0.0,0.0,0.0
467452197,0.0,0.0,0.0,0.0
467553183,0.0,0.0,0.0,0.0
467653242,0.0,0.0,0.0,0.0
467756622,0.0,0.0,0.0,0.0
467856517,0.0,0.0,0.0,0.0
467956793,0.0,0.0,0.0,0.0
468062371,0.0,0.0,0.0,0.0
468167079,0.0,0.0,0.0,0.0
468267535,0.0,0.0,0.0,0.0
468366825,0.0,0.0,0.0,0.0
468471413,0.0,0.0,0.0,0.0
468570240,0.0,0.0,0.0,0.0
468670124,0.0,0.0,0.0,0.0
468774122,0.0,0.0,0.0,0.0
468875787,0.0,0.0,0.0,0.0
468975672,0.0,0.0,0.0,0.0
469079790,0.0,0.0,0.0,0.0
469180385,0.0,0.0,0.0,0.0
469279948,0.0,0.0,0.0,0.0
469380482,0.0,0.0,0.0,0.0
469484611,0.0,0.0,0.0,0.0
469584627,0.0,0.0,0.0,0.0
469688613,0.0,0.0,0.0,0.0
469790649,0.0,0.0,0.0,0.0
469888715,0.0,0.0,0.0,0.0
469992649,0.0,0.0,0.0,0.0
470092645,0.0,0.0,0.0,0.0
470194209,0.0,0.0,0.0,0.0
470294230,0.0,0.0,0.0,0.0
470398054,0.0,0.0,0.0,0.0
470498263,0.0,0.0,0.0,0.0
470602332,0.0,0.0,0.0,0.0
470703493,0.0,0.0,0.0,0.0
470803069,0.0,0.0,0.0,0.0
470906896,0.0,0.0,0.0,0.0
471007522,0.0,0.0,0.0,0.0
471106917,0.0,0.0,0.0,0.0
471211192,0.0,0.0,0.0,0.0
471313097,0.0,0.0,0.0,0.0
471410893,0.0,0.0,0.0,0.0
471515118,0.0,0.0,0.0,0.0
471616633,0.0,0.0,0.0,0.0
471716618,0.0,0.0,0.0,0.0
471816983,0.0,0.0,0.0,0.0
471920469,0.0,0.0,0.0,0.0
472024301,0.0,0.0,0.0,0.0
472122303,0.0,0.0,0.0,0.0
472226583,0.0,0.0,0.0,0.0
472326332,0.0,0.0,0.0,0.0
472426340,0.0,0.0,0.0,0.0
472530313,0.0,0.0,0.0,0.0
472632344,0.0,0.0,0.0,0.0
472731768,0.0,0.0,0.0,0.0
472833910,0.0,0.0,0.0,0.0
472936419,0.0,0.0,0.0,0.0
473035988,0.0,0.0,0.0,0.0
473137628,0.0,0.0,0.0,0.0
473241410,0.0,0.0,0.0,0.0
473341964,0.0,0.0,0.0,0.0
473441522,0.0,0.0,0.0,0.0
473545519,0.0,0.0,0.0,0.0
473647447,0.0,0.0,0.0,0.0
473746897,0.0,0.0,0.0,0.0
473849987,0.0,0.0,0.0,0.0
473950922,0.0,0.0,0.0,0.0
474051172,0.0,0.0,0.0,0.0
474156982,0.0,0.0,0.0,0.0
474258826,0.0,0.0,0.0,0.0
474360497,0.0,0.0,0.0,0.0
474460490,0.0,0.0,0.0,0.0
474560641,0.0,0.0,0.0,0.0
474664545,0.0,0.0,0.0,0.0
474766607,0.0,0.0,0.0,0.0
474866277,0.0,0.0,0.0,0.0
474970097,0.0,0.0,0.0,0.0
475070203,0.0,0.0,0.0,0.0
475170571,0.0,0.0,0.0,0.0
475274189,0.0,0.0,0.0,0.0
475374096,0.0,0.0,0.0,0.0
475475011,0.0,0.0,0.0,0.0
475581180,0.0,0.0,0.0,0.0
475683027,0.0,0.0,0.0,0.0
475783702,0.0,0.0,0.0,0.0
475889130,0.0,0.0,0.0,0.0
475991534,0.0,0.0,0.0,0.0
476093346,0.0,0.0,0.0,0.0
476192658,0.0,0.0,0.0,0.0
476297037,0.0,0.0,0.0,0.0
476397165,0.0,0.0,0.0,0.0
476496753,0.0,0.0,0.0,0.0
476600910,0.0,0.0,0.0,0.0
476700521,0.0,0.0,0.0,0.0
476802229,0.0,0.0,0.0,0.0
476904310,0.0,0.0,0.0,0.0
477006248,0.0,0.0,0.0,0.0
477108294,0.0,0.0,0.0,0.0
477210103,0.0,0.0,0.0,0.0
477312407,0.0,0.0,0.0,0.0
477411768,0.0,0.0,0.0,0.0
477512467,0.0,0.0,0.0,0.0
477615705,0.0,0.0,0.0,0.0
477715770,0.0,0.0,0.0,0.0
477815778,0.0,0.0,0.0,0.0
477919434,0.0,0.0,0.0,0.0
478021305,0.0,0.0,0.0,0.0
478121285,0.0,0.0,0.0,0.0
478227488,0.0,0.0,0.0,0.0
478329366,0.0,0.0,0.0,0.0
478430995,0.0,0.0,0.0,0.0
478531414,0.0,0.0,0.0,0.0
478633176,0.0,0.0,0.0,0.0
478737133,0.0,0.0,0.0,0.0
478837199,0.0,0.0,0.0,0.0
478938877,0.0,0.0,0.0,0.0
479040508,0.0,0.0,0.0,0.0
479142800,0.0,0.0,0.0,0.0
479240760,0.0,0.0,0.0,0.0
479346700,0.0,0.0,0.0,0.0
479448742,0.0,0.0,0.0,0.0
479548746,0.0,0.0,0.0,0.0
479650484,0.0,0.0,0.0,0.0
479754184,0.0,0.0,0.0,0.0
479857314,0.0,0.0,0.0,0.0
479954288,0.0,0.0,0.0,0.0
480058064,0.0,0.0,0.0,0.0
480162249,0.0,0.0,0.0,0.0
480263830,0.0,0.0,0.0,0.0
480363853,0.0,0.0,0.0,0.0
480469998,0.0,0.0,0.0,0.0
480570092,0.0,0.0,0.0,0.0
480673894,0.0,0.0,0.0,0.0
480775524,0.0,0.0,0.0,0.0
480877269,0.0,0.0,0.0,0.0
480977765,0.0,0.0,0.0,0.0
481081389,0.0,0.0,0.0,0.0
481181934,0.0,0.0,0.0,0.0
481282220,0.0,0.0,0.0,0.0
481385309,0.0,0.0,0.0,0.0
481487277,0.0,0.0,0.0,0.0
481586857,0.0,0.0,0.0,0.0
481686912,0.0,0.0,0.0,0.0
481791043,0.0,0.0,0.0,0.0
481893034,0.0,0.0,0.0,0.0
481992651,0.0,0.0,0.0,0.0
482092671,0.0,0.0,0.0,0.0
482197122,0.0,0.0,0.0,0.0
482296933,0.0,0.0,0.0,0.0
482400987,0.0,0.0,0.0,0.0
482502214,0.0,0.0,0.0,0.0
482602830,0.0,0.0,0.0,0.0
482702478,0.0,0.0,0.0,0.0
482808259,0.0,0.0,0.0,0.0
482910284,0.0,0.0,0.0,0.0
483010908,0.0,0.0,0.0,0.0
483113381,0.0,0.0,0.0,0.0
483213487,0.0,0.0,0.0,0.0
483311245,0.0,0.0,0.0,0.0
483415468,0.0,0.0,0.0,0.0
483515040,0.0,0.0,0.0,0.0
483619518,0.0,0.0,0.0,0.0
483719531,0.0,0.0,0.0,0.0
483821203,0.0,0.0,0.0,0.0
483920609,0.0,0.0,0.0,0.0
484023015,0.0,0.0,0.0,0.0
484124594,0.0,0.0,0.0,0.0
484224737,0.0,0.0,0.0,0.0
484328616,0.0,0.0,0.0,0.0
484432318,0.0,0.0,0.0,0.0
484534092,0.0,0.0,0.0,0.0
484634498,0.0,0.0,0.0,0.0
484738194,0.0,0.0,0.0,0.0
484840231,0.0,0.0,0.0,0.0
484939680,0.0,0.0,0.0,0.0
485039857,0.0,0.0,0.0,0.0
485144339,0.0,0.0,0.0,0.0
485243798,0.0,0.0,0.0,0.0
485348230,0.0,0.0,0.0,0.0
485448200,0.0,0.0,0.0,0.0
485549806,0.0,0.0,0.0,0.0
485649522,0.0,0.0,0.0,0.0
485753860,0.0,0.0,0.0,0.0
485854837,0.0,0.0,0.0,0.0
485955487,0.0,0.0,0.0,0.0
486057403,0.0,0.0,0.0,0.0
486158995,0.0,0.0,0.0,0.0
486259033,0.0,0.0,0.0,0.0
486363043,0.0,0.0,0.0,0.0
486463198,0.0,0.0,0.0,0.0
486563116,0.0,0.0,0.0,0.0
486666744,0.0,0.0,0.0,0.0
486768435,0.0,0.0,0.0,0.0
486869390,0.0,0.0,0.0,0.0
486968623,0.0,0.0,0.0,0.0
487072707,0.0,0.0,0.0,0.0
487172630,0.0,0.0,0.0,0.0
487274211,0.0,0.0,0.0,0.0
487374657,0.0,0.0,0.0,0.0
487478190,0.0,0.0,0.0,0.0
487579051,0.0,0.0,0.0,0.0
487682357,0.0,0.0,0.0,0.0
487782187,0.0,0.0,0.0,0.0
487883048,0.0,0.0,0.0,0.0
487987548,0.0,0.0,0.0,0.0
488087091,0.0,0.0,0.0,0.0
488187715,0.0,0.0,0.0,0.0
488291282,0.0,0.0,0.0,0.0
488391014,0.0,0.0,0.0,0.0
488490883,0.0,0.0,0.0,0.0
488592995,0.0,0.0,0.0,0.0
488697080,0.0,0.0,0.0,0.0
488797094,0.0,0.0,0.0,0.0
488896667,0.0,0.0,0.0,0.0
489000954,0.0,0.0,0.0,0.0
489100433,0.0,0.0,0.0,0.0
489202869,0.0,0.0,0.0,0.0
489306189,0.0,0.0,0.0,0.0
489406575,0.0,0.0,0.0,0.0
489506467,0.0,0.0,0.0,0.0
489610735,0.0,0.0,0.0,0.0
489710218,0.0,0.0,0.0,0.0
489812551,0.0,0.0,0.0,0.0
489911830,0.0,0.0,0.0,0.0
490016662,0.0,0.0,0.0,0.0
490115797,0.0,0.0,0.0,0.0
490219687,0.0,0.0,0.0,0.0
490321191,0.0,0.0,0.0,0.0
490421411,0.0,0.0,0.0,0.0
490522050,0.0,0.0,0.0,0.0
490625506,0.0,0.0,0.0,0.0
490725906,0.0,0.0,0.0,0.0
490825923,0.0,0.0,0.0,0.0
490930122,0.0,0.0,0.0,0.0
491030082,0.0,0.0,0.0,0.0
491131101,0.0,0.0,0.0,0.0
491235180,0.0,0.0,0.0,0.0
491334431,0.0,0.0,0.0,0.0
491434402,0.0,0.0,0.0,0.0
491538204,0.0,0.0,0.0,0.0
491638094,0.0,0.0,0.0,0.0
491739722,0.0,0.0,0.0,0.0
491844244,0.0,0.0,0.0,0.0
491943868,0.0,0.0,0.0,0.0
492044332,0.0,0.0,0.0,0.0
492147668,0.0,0.0,0.0,0.0
492248551,0.0,0.0,0.0,0.0
492348505,0.0,0.0,0.0,0.0
492452700,0.0,0.0,0.0,0.0
492553016,0.0,0.0,0.0,0.0
492652930,0.0,0.0,0.0,0.0
