timestamp,roll,pitch,yaw,thrust
787675941,0.0893238,0.0512721,0.110655,0.0
787688089,0.0805733,0.0484827,0.113187,0.0
787696147,0.0703492,0.047366,0.114313,0.0
787703957,0.0672082,0.0460215,0.115299,0.0
787719864,0.0557218,0.0442049,0.116902,0.0
787728008,0.0535354,0.0433603,0.117603,0.0
787747889,0.0542817,0.0420046,0.119825,0.0
787755916,0.0433449,0.0418518,0.121239,0.0
787772441,0.0239104,0.0415256,0.12469,0.0
787783923,0.0134956,0.0409072,0.127322,0.0
787795932,0.0171984,0.0410716,0.128944,0.0
787806303,0.0146673,0.0405886,0.129611,0.0
787816513,0.00855904,0.0401029,0.129976,0.0
787827918,0.00803112,0.0389589,0.130258,0.0
787838382,0.00236581,0.0386556,0.130472,0.0
787848279,0.000664539,0.0377577,0.130986,0.0
787856058,-0.00582925,0.0377259,0.13134,0.0
787872391,-0.00164607,0.0376814,0.132353,0.0
787879916,-0.00420291,0.037648,0.132893,0.0
787896343,-0.01372,0.0383414,0.134139,0.0
787903982,-0.0170419,0.038386,0.134831,0.0
787920081,-0.0281319,0.0387321,0.134427,0.0
787927936,-0.0304118,0.0385577,0.134314,0.0
787943887,-0.0235189,0.0392804,0.136565,0.0
787955845,-0.0290846,0.0399034,0.135071,0.0
787967889,-0.029516,0.0392724,0.135012,0.0
787976654,-0.0330343,0.039652,0.133485,0.0
787987871,-0.0285621,0.0395496,0.133312,0.0
787995915,-0.0132019,0.0401447,0.13372,0.0
788011999,-0.00607445,0.0393612,0.130875,0.0
788019990,0.000782503,0.0384974,0.129233,0.0
788035885,0.0130848,0.0377525,0.125487,0.0
788043897,0.0217004,0.0368469,0.123476,0.0
788060109,0.0517312,0.0361587,0.119129,0.0
788071987,0.0620725,0.0362253,0.115715,0.0
788083879,0.0750802,0.0341722,0.112924,0.0
788095930,0.0855896,0.0339733,0.110025,0.0
788107901,0.0949541,0.0328457,0.107949,0.0
788116032,0.1119,0.0336329,0.106732,0.0
788127890,0.11638,0.032776,0.105757,0.0
788139921,0.117527,0.0339189,0.10473,0.0
788147936,0.11977,0.0336032,0.104205,0.0
788160426,0.121838,0.0342592,0.103233,0.0
788170352,0.12545,0.0339795,0.102406,0.0
788179919,0.146116,0.0346071,0.100362,0.0
788191981,0.154858,0.0344522,0.0978427,0.0
788200052,0.162234,0.0334944,0.0962916,0.0
788212787,0.168535,0.0331758,0.0945467,0.0
788221487,0.170743,0.0323883,0.0942056,0.0
788233500,0.182003,0.0329737,0.0944696,0.0
788241806,0.17898,0.032289,0.0952601,0.0
788253914,0.16892,0.0328405,0.0966798,0.0
788265539,0.162577,0.0314649,0.0984735,0.0
788276015,0.154246,0.0319732,0.0995492,0.0
788285560,0.147274,0.03136,0.101444,0.0
788289515,0.145103,0.030912,0.102016,0.0
788305497,0.132424,0.0316201,0.104161,0.0
788313537,0.140341,0.0323378,0.104903,0.0
788329580,0.133246,0.0316172,0.107039,0.0
788341513,0.123545,0.0316038,0.108437,0.0
788349549,0.120237,0.0311887,0.10945,0.0
788363818,0.110373,0.0320929,0.110496,0.0
788373577,0.117012,0.0330161,0.111718,0.0
788381531,0.112606,0.033543,0.112671,0.0
788393516,0.0985768,0.0342489,0.114539,0.0
788401472,0.0926869,0.0339382,0.116155,0.0
788417470,0.0734021,0.0335164,0.119316,0.0
788429872,0.0650469,0.0334276,0.12147,0.0
788437737,0.0688382,0.0334864,0.122694,0.0
788450006,0.0609623,0.0328319,0.124832,0.0
788461468,0.0460393,0.0330429,0.126668,0.0
788469564,0.0417163,0.0326164,0.127888,0.0
788481542,0.0305272,0.0318768,0.129452,0.0
788489584,0.0282926,0.0314666,0.130076,0.0
788505603,0.0352037,0.030944,0.130895,0.0
788513499,0.0328553,0.0307596,0.131057,0.0
788529600,0.0324906,0.030448,0.131353,0.0
788541814,0.0307354,0.0299463,0.131396,0.0
788550187,0.0312431,0.0298783,0.131369,0.0
788561467,0.0454862,0.0306589,0.131235,0.0
788573899,0.0442308,0.0311285,0.131319,0.0
788583962,0.043755,0.0315526,0.131453,0.0
788593981,0.042048,0.0324535,0.131633,0.0
788604179,0.0414471,0.0325286,0.131766,0.0
