timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
632195000,-0.731412,0.0928308,-0.436023,0.0,0.914373,-0.339396,0.119568,-0.185569,0.763476,0.0,1,0,0,0,0,0,0
632214703,-0.731996,0.0955054,-0.43901,0.0,0.914043,-0.33919,0.121342,-0.186419,0.763389,0.0,1,0,0,0,0,0,0
632234809,-0.73259,0.0981642,-0.441988,0.0,0.913709,-0.338986,0.123107,-0.187267,0.763336,0.0,1,0,0,0,0,0,0
632254725,-0.733146,0.100765,-0.440991,0.0,0.913751,-0.339014,0.124168,-0.18631,0.763425,0.0,1,0,0,0,0,0,0
632275178,-0.733726,0.103346,-0.443956,0.0,0.913417,-0.338806,0.125894,-0.187164,0.763584,0.0,1,0,0,0,0,0,0
632294730,-0.734375,0.105827,-0.442959,0.0,0.913439,-0.338889,0.126908,-0.18622,0.763893,0.0,1,0,0,0,0,0,0
632314730,-0.735053,0.108268,-0.445911,0.0,0.913086,-0.338736,0.128576,-0.187084,0.764133,0.0,1,0,0,0,0,0,0
632335113,-0.735638,0.110663,-0.448854,0.0,0.912746,-0.338542,0.130212,-0.187957,0.764308,0.0,1,0,0,0,0,0,0
632354711,-0.736219,0.112961,-0.447851,0.0,0.912775,-0.338613,0.131135,-0.187046,0.764572,0.0,1,0,0,0,0,0,0
632374763,-0.736669,0.115205,-0.450782,0.0,0.912456,-0.338369,0.132687,-0.187947,0.765024,0.0,1,0,0,0,0,0,0
632394730,-0.737172,0.117376,-0.450782,0.0,0.912401,-0.338351,0.133714,-0.18752,0.765713,0.0,1,0,0,0,0,0,0
632434758,-0.738036,0.121504,-0.452696,0.0,0.91213,-0.338142,0.135982,-0.187586,0.76749,0.0,1,0,0,0,0,0,0
632454733,-0.738446,0.123473,-0.455606,0.0,0.911812,-0.337903,0.137401,-0.188526,0.768799,0.0,1,0,0,0,0,0,0
632475347,-0.738899,0.12539,-0.457494,0.0,0.911581,-0.337756,0.138626,-0.189006,0.770465,0.0,1,0,0,0,0,0,0
632495363,-0.739385,0.127234,-0.457494,0.0,0.911522,-0.337763,0.139503,-0.188637,0.772516,0.0,1,0,0,0,0,0,0
632515389,-0.739826,0.128999,-0.460382,0.0,0.911195,-0.337555,0.140828,-0.1896,0.774787,0.0,1,0,0,0,0,0,0
632535342,-0.740322,0.130715,-0.463263,0.0,0.910858,-0.337374,0.142133,-0.190564,0.776955,0.0,1,0,0,0,0,0,0
632555410,-0.740798,0.132356,-0.462245,0.0,0.910893,-0.33747,0.142745,-0.189766,0.778988,0.0,1,0,0,0,0,0,0
632575403,-0.741267,0.133912,-0.465112,0.0,0.910559,-0.337293,0.143973,-0.190754,0.781054,0.0,1,0,0,0,0,0,0
