timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,max_differential_pressure_pa,temperature
475951999,0,196.233,203.141,1406.31,20.4265
476011938,0,205.502,202.833,1406.31,20.3951
476060361,0,202.136,202.867,1406.31,20.2945
476120162,0,208.654,203.165,1406.31,20.3117
476169570,0,205.264,203.618,1406.31,20.3803
476217631,0,208.225,204.104,1406.31,20.3345
476269866,0,208.421,204.717,1406.31,20.3803
476322451,0,205.578,205.4,1406.31,20.3846
476382099,0,207.583,206.026,1406.31,20.3688
476429748,0,204.636,206.508,1406.31,20.3717
476478209,0,199.599,206.63,1406.31,20.3317
476529542,0,196.652,206.245,1406.31,20.4322
476578883,0,191.191,205.179,1406.31,20.4008
476633415,0,200.237,203.577,1406.31,20.3117
476682683,0,193.067,202.17,1406.31,20.3574
476747007,0,194.334,200.637,1406.31,20.4437
476795111,0,193.719,199.508,1406.31,20.3922
476843350,0,202.531,198.726,1406.31,20.3717
476895705,0,200.237,198.542,1406.31,20.3117
476942796,0,199.361,198.407,1406.31,20.5123
476995493,0,198.97,198.318,1406.31,20.4208
477055010,0,199.599,198.681,1406.31,20.3317
477103344,0,203.669,199.171,1406.31,20.4303
477155068,0,199.818,199.48,1406.31,20.306
477215513,0,198.97,199.821,1406.31,20.3231
477263961,0,199.808,199.883,1406.31,20.3345
477313637,0,197.19,199.663,1406.31,20.3965
477365133,0,195.59,199.337,1406.31,20.4608
477413286,0,198.98,198.892,1406.31,20.2945
477464202,0,197.909,198.691,1406.31,20.3517
477524876,0,209.349,198.916,1406.31,20.436
477576754,0,200.027,199.394,1406.31,20.3088
477628632,0,202.646,199.774,1406.31,20.3445
477674712,0,195.619,200.157,1406.31,20.2774
477728969,0,211.577,200.435,1406.31,20.3803
477776474,0,198.875,200.844,1406.31,20.2931
477828975,0,211.967,201.392,1406.31,20.4718
477886923,0,209.258,202.05,1406.31,20.3917
477934797,0,202.122,202.301,1406.31,20.3374
477986878,0,193.719,202.187,1406.31,20.2945
478038733,0,190.135,201.461,1406.31,20.3174
478098566,0,194.138,200.41,1406.31,20.3002
478146276,0,192.753,199.403,1406.31,20.3531
478198794,0,189.297,198.319,1406.31,20.306
478246858,0,200.818,197.248,1406.31,20.4632
478306579,0,211.353,196.649,1406.31,20.4203
478357618,0,202.332,197.11,1406.31,20.3403
478410860,0,204.626,198.098,1406.31,20.4003
478464792,0,201.798,199.06,1406.31,20.3617
478516466,0,197.818,199.959,1406.31,20.3074
478564009,0,193.496,200.557,1406.31,20.3345
478615838,0,190.563,200.553,1406.31,20.2945
478675797,0,190.563,199.81,1406.31,20.2945
478720162,0,191.82,198.812,1406.31,20.3117
478771607,0,192.125,197.604,1406.31,20.3445
478828171,0,202.098,196.232,1406.31,20.4089
478876420,0,191.401,195.386,1406.31,20.306
478925800,0,208.187,194.891,1406.31,20.4489
478976368,0,191.401,194.971,1406.31,20.306
479033908,0,191.82,195.17,1406.31,20.3117
479085593,0,199.675,195.495,1406.31,20.4189
479133655,0,185.302,195.773,1406.31,20.1968
479193411,0,190.458,195.519,1406.31,20.1954
479245391,0,187.921,194.814,1406.31,20.3303
479293744,0,190.144,193.773,1406.31,20.2888
479342185,0,185.074,192.853,1406.31,20.3488
479401461,0,181.722,191.884,1406.31,20.3031
479453812,0,184.445,191.05,1406.31,20.3403
479501406,0,186.245,190.01,1406.31,20.3074
479549636,0,187.369,188.936,1406.31,20.4089
479604223,0,186.121,187.901,1406.31,20.3631
479654691,0,177.928,186.883,1406.31,20.3231
479715093,0,182.351,185.959,1406.31,20.3117
479766695,0,184.017,185.546,1406.31,20.3631
479819980,0,181.503,185.052,1406.31,20.3288
479871579,0,180.884,184.612,1406.31,20.2917
479923972,0,188.206,184.488,1406.31,20.4203
479974933,0,179.409,184.808,1406.31,20.3002
480023268,0,186.95,185.198,1406.31,20.4031
480071658,0,211.12,185.747,1406.31,20.4889
480133529,0,193.496,187.42,1406.31,20.3345
480180655,0,189.716,188.823,1406.31,20.3117
480232771,0,190.563,189.814,1406.31,20.2945
480284509,0,184.236,190.421,1406.31,20.3374
480332972,0,188.459,190.701,1406.31,20.2945
480382747,0,195.162,190.885,1406.31,20.386
480432653,0,188.249,191.276,1406.31,20.2917
480484887,0,194.952,191.527,1406.31,20.3831
480544620,0,188.949,191.419,1406.31,20.4017
480597075,0,184.027,191.017,1406.31,20.3345
480648733,0,197.047,190.413,1406.31,20.4117
480703679,0,192.006,189.961,1406.31,20.386
480750325,0,192.424,189.621,1406.31,20.3917
480810699,0,199.78,189.391,1406.31,20.3226
480858990,0,191.601,189.566,1406.31,20.2397
480909941,0,193.915,189.781,1406.31,20.3403
480958226,0,188.878,190.003,1406.31,20.3002
481010225,0,192.972,190.339,1406.31,20.3274
481062549,0,184.855,190.82,1406.31,20.3746
481113914,0,191.401,191.012,1406.31,20.306
481166597,0,197.685,191.22,1406.31,20.3917
481217870,0,193.705,191.467,1406.31,20.3374
481266416,0,197.58,191.731,1406.31,20.3903
481323916,0,188.04,191.982,1406.31,20.2888
481372576,0,185.721,191.897,1406.31,20.3002
481428266,0,191.796,191.55,1406.31,20.3831
481475785,0,189.087,191.194,1406.31,20.3031
481527479,0,191.168,190.855,1406.31,20.3746
481579404,0,186.245,190.534,1406.31,20.3074
481639900,0,181.294,190.102,1406.31,20.326
481688222,0,190.72,189.844,1406.31,20.4546
481736613,0,179.618,189.412,1406.31,20.3031
481796144,0,186.769,188.344,1406.31,20.3145
481848735,0,192.634,187.62,1406.31,20.3946
481897573,0,186.14,187.186,1406.31,20.306
481957583,0,193.286,187.16,1406.31,20.3317
482007529,0,196.847,187.693,1406.31,20.3803
482057951,0,195.814,188.455,1406.31,20.3231
482112859,0,192.02,189.273,1406.31,20.3431
482160893,0,192.239,189.897,1406.31,20.2197
482209565,0,188.549,190.353,1406.31,20.2411
482262225,0,190.344,190.412,1406.31,20.3202
