timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
328637852,-0.0196868,0.013024,0.0310488,0.911699,0.0156787,0.00287332,-0.410549
328647813,-0.01861,0.0090968,0.0298819,0.91175,0.0156325,0.00293594,-0.410438
328657746,-0.012864,0.00580026,0.0323382,0.911827,0.0155761,0.00300246,-0.410267
328669740,-0.0112681,0.00207006,0.0320104,0.911905,0.0155287,0.00303996,-0.410096
328678054,-0.00914995,0.00206804,0.0308393,0.911955,0.0155044,0.00305818,-0.409987
328689819,-0.00924828,0.00206925,0.029879,0.912028,0.0154684,0.00308531,-0.409826
328698728,-0.00935769,0.00313227,0.0299828,0.912076,0.0154453,0.00310703,-0.409718
328709729,-0.0120148,0.00302602,0.0298764,0.912148,0.0154034,0.00314377,-0.409559
328721803,-0.0124484,0.00206737,0.031688,0.912222,0.0153503,0.00317988,-0.409396
328730782,-0.0117036,0.00238754,0.0310431,0.912272,0.0153169,0.00320322,-0.409286
328741870,-0.0139439,0.00186022,0.0310433,0.912347,0.0152548,0.00323734,-0.409121
328754618,-0.0145793,4.43475e-05,0.0316782,0.912422,0.0151846,0.00327027,-0.408956
328765777,-0.0130989,-6.20151e-05,0.0305097,0.912496,0.0151158,0.0032984,-0.408793
328777744,-0.0101131,-0.00166363,0.0276332,0.912564,0.015058,0.00331628,-0.408642
328786063,-0.00659461,-0.0040053,0.0265701,0.912606,0.0150305,0.00331236,-0.408551
328797722,-0.00117174,-0.00676749,0.0251855,0.912665,0.0150049,0.00328129,-0.40842
328809854,0.00754437,-0.00613332,0.0246503,0.912723,0.0150214,0.00323245,-0.408291
328817752,0.0129823,-0.00570369,0.0245439,0.912759,0.0150589,0.00318965,-0.408208
328829780,0.020426,-0.00581155,0.0233716,0.912812,0.0151496,0.00310718,-0.408088
328837747,0.0275576,-0.00613043,0.0225204,0.912845,0.015238,0.00303922,-0.408011
328849784,0.0361768,-0.00442693,0.0213494,0.91289,0.0154154,0.00292519,-0.407903
328861883,0.0408624,-0.00230716,0.0199631,0.912932,0.0156315,0.00280614,-0.407804
328869947,0.0438565,-0.000837358,0.0186997,0.912956,0.0157904,0.00272693,-0.407744
328881788,0.0474666,0.00288596,0.0160262,0.912988,0.0160512,0.00261441,-0.407663
328893717,0.04725,0.00511977,0.0148561,0.913014,0.0163312,0.00250652,-0.407593
328901871,0.0478836,0.0070345,0.0147424,0.913031,0.0165181,0.00244639,-0.407549
328914325,0.0478909,0.00712115,0.0125213,0.913054,0.0167988,0.00235908,-0.407487
328922443,0.044483,0.0085235,0.0125113,0.913067,0.0169807,0.00231009,-0.40745
328934548,0.0428864,0.00841693,0.0109201,0.913084,0.0172431,0.00224337,-0.407401
328945728,0.0380996,0.00841713,0.00857051,0.913096,0.0174866,0.00218636,-0.407363
328954034,0.0339596,0.00787331,0.00666011,0.913101,0.0176318,0.00215257,-0.407346
328965845,0.0315053,0.0108652,0.00856898,0.913111,0.0178381,0.00211804,-0.407316
328978595,0.0239383,0.0128807,0.0069728,0.913121,0.0180157,0.00211531,-0.407286
328989852,0.0156347,0.0148018,0.00750113,0.913128,0.0181589,0.00214124,-0.407263
329002527,0.0108504,0.0148009,0.00845846,0.91314,0.0182637,0.00218757,-0.407231
329013836,0.0046805,0.0137366,0.00866827,0.913153,0.0183359,0.00224067,-0.407198
329026605,-0.0029866,0.0121424,0.00962304,0.913169,0.0183645,0.00230397,-0.40716
329033854,-0.00447227,0.0105428,0.00962304,0.913181,0.0183684,0.00234509,-0.407134
329046265,-0.00691984,0.012136,0.00940693,0.913196,0.0183675,0.00241421,-0.407099
329055556,-0.00710539,0.012856,0.00961287,0.913211,0.018367,0.00247751,-0.407066
329067954,-0.00657782,0.0156622,0.00854871,0.913225,0.0183703,0.00256435,-0.407034
329079337,-0.0020055,0.0169383,0.00748004,0.913236,0.0183995,0.0026563,-0.407008
329091869,0.00853373,0.0180019,0.00886365,0.913247,0.0184759,0.00273088,-0.406978
329103318,0.0185328,0.0202368,0.010566,0.913261,0.0186142,0.00279194,-0.40694
329112082,0.02705,0.0247077,0.0121615,0.913272,0.0187468,0.00283262,-0.406909
329123440,0.0430066,0.0352388,0.0149277,0.913293,0.0190364,0.00290578,-0.406848
329135853,0.0560919,0.0535237,0.0191892,0.913322,0.0194472,0.00302424,-0.406763
329147359,0.0663113,0.0749279,0.024507,0.913361,0.0199647,0.0032324,-0.406649
