timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence,differential_pressure_filtered_pa
330136786,0.0,0.0,0.0,23.4582,1.0,-2.85791
330147886,0.0,0.0,0.0,23.4554,1.0,-2.77107
330159597,0.0,0.0,0.0,23.4496,1.0,-2.69246
330171339,0.0,0.0,0.0,23.4711,1.0,-2.62382
330184334,0.0,0.0,0.0,23.4696,1.0,-2.56664
330195787,0.0,0.0,0.0,23.4325,1.0,-2.52192
330207985,0.0,0.0,0.0,23.4382,1.0,-2.48562
330219386,0.0,0.0,0.0,23.4325,1.0,-2.4531
330232988,0.0,0.0,0.0,23.4268,1.0,-2.42954
330244615,0.0,0.0,1.48084,23.4654,1.0,-2.41205
330256924,0.0,0.0,1.4252,23.4211,1.0,-2.38464
330268588,0.0,0.0,2.52511,23.4268,1.0,-2.33724
330280693,0.0,0.0,1.4252,23.4211,1.0,-2.26885
330291912,0.0,0.0,2.4495,23.4525,1.0,-2.18225
330304116,0.0,0.0,3.10143,23.4525,1.0,-2.07411
330315807,0.0,0.0,1.54741,23.4239,1.0,-1.94405
330327323,0.0,0.0,1.66063,23.4268,1.0,-1.80322
330339306,0.0,0.0,0.0,23.4296,1.0,-1.66962
330352047,0.0,0.0,0.0,23.4611,1.0,-1.56624
330364878,0.0,0.0,0.0,23.4382,1.0,-1.49914
330376588,0.0,0.0,0.0,23.4339,1.0,-1.45973
330389066,0.0,0.0,0.0,23.4382,1.0,-1.44386
330400623,0.0,0.0,0.0,23.4325,1.0,-1.44653
330413320,0.0,0.0,0.0,23.4268,1.0,-1.46429
330424763,0.0,0.0,0.0,23.4382,1.0,-1.49609
330435562,0.0,0.0,0.0,23.4453,1.0,-1.53367
330449602,0.0,0.0,0.0,23.4496,1.0,-1.56902
330461315,0.0,0.0,0.0,23.4611,1.0,-1.60374
330474274,0.0,0.0,0.0,23.4339,1.0,-1.63773
330486312,0.0,0.0,2.00556,23.4368,1.0,-1.66204
330498296,0.0,0.0,0.0,23.4296,1.0,-1.67184
330510246,0.0,0.0,2.29935,23.4468,1.0,-1.66798
330521885,0.0,0.0,0.0,23.4411,1.0,-1.64975
330534841,0.0,0.0,0.0,23.4253,1.0,-1.62819
330546616,0.0,0.0,0.0,23.4268,1.0,-1.62006
330557933,0.0,0.0,0.0,23.4496,1.0,-1.62732
330570802,0.0,0.0,0.0,23.4782,1.0,-1.64372
330581783,0.0,0.0,0.0,23.4353,1.0,-1.66742
330594942,0.0,0.0,0.0,23.4268,1.0,-1.7012
330606561,0.0,0.0,0.0,23.4211,1.0,-1.74753
