timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
360142377,11.5374,11.6405,11.3584,11.5074,80.5514,0.976744,1.00006,3,1,0
360442370,11.357,11.6266,11.3336,11.4699,81.5039,0.976453,1.00121,3,1,0
360743907,11.5538,11.6156,11.2592,11.5313,82.4784,0.976162,1.00166,3,1,0
361044055,11.5784,11.6117,11.532,11.532,83.439,0.975871,1.00162,3,1,0
361345517,11.808,11.6102,12.1148,11.5831,84.4142,0.975579,1.00148,3,1,0
361647340,11.4226,11.5963,11.8544,11.5424,85.3755,0.975286,1.0024,3,1,0
361947114,11.5292,11.595,11.5072,11.584,86.3452,0.974994,1.00233,3,1,0
362247897,11.5784,11.5921,11.718,11.6446,87.3243,0.974702,1.00245,3,1,0
362559899,11.562,11.6012,11.0112,11.6233,88.331,0.974396,1.0016,3,1,0
362861556,11.7752,11.5925,11.6312,11.5833,89.296,0.974103,1.00223,3,1,0
363161477,11.6276,11.5737,11.7304,11.5389,90.2508,0.97381,1.00371,3,1,0
363463178,11.4226,11.5702,11.5072,11.5631,91.2211,0.973518,1.00395,3,1,0
363752708,11.6768,11.5654,11.3956,11.5927,92.1566,0.973236,1.00431,3,1,0
364064794,11.5948,11.5806,11.7056,11.5513,93.1524,0.972932,1.00303,3,1,0
364366309,11.2832,11.579,11.718,11.5352,94.1176,0.972639,1.00314,3,1,0
364667897,11.644,11.5768,11.1848,11.5123,95.0808,0.972347,1.0033,3,1,0
364967937,11.5128,11.5663,11.3336,11.5709,96.0546,0.972053,1.00415,3,1,0
365269534,11.6932,11.5881,11.4204,11.575,97.0233,0.971761,1.00235,3,1,0
365569493,11.726,11.5872,11.7304,11.5452,97.979,0.971468,1.00242,3,1,0
365871107,11.5128,11.5776,11.4576,11.5482,98.9472,0.971176,1.0032,3,1,0
366172938,11.644,11.5867,11.2344,11.512,99.9083,0.970884,1.00245,3,1,0
366472712,11.7834,11.5998,11.1352,11.4423,100.853,0.970592,1.00138,3,1,0
366773507,11.562,11.6178,11.4824,11.3483,101.788,0.970302,1.00006,3,1,0
367073625,11.6932,11.5354,11.2592,11.2892,102.721,0.960633,1.00677,3,1,0
367375133,11.6932,11.4454,11.16,11.2086,103.651,0.917932,1.01421,3,1,0
367675118,11.8818,11.4547,2.294,8.70471,104.092,0.913575,1.01498,3,1,0
367976064,12.0048,11.508,1.798,6.15273,104.284,0.92502,1.01297,3,1,0
368275901,11.9556,11.5621,2.046,4.34741,104.415,0.935418,1.01115,3,1,0
368577519,11.8818,11.6267,1.8724,3.39525,104.578,0.955394,1.00767,3,1,0
368878309,11.9474,11.6728,1.9592,2.81184,104.739,0.968748,1.00533,3,1,0
369178337,11.8736,11.6683,2.1948,2.44454,104.897,0.960285,1.00683,3,1,0
