timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
329309623,329309623,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329329424,329329424,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329353384,329353384,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329373408,329373408,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329394363,329394363,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329418341,329418341,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329441212,329441212,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329461756,329461756,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329485808,329485808,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329510836,329510836,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329532020,329532020,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329555915,329555915,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329578821,329578821,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329600251,329600251,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329623618,329623618,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329647430,329647430,18,255,0,0,0,1492,1492,982,1494,1492,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329671924,329671924,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329695462,329695462,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329718821,329718821,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329738912,329738912,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329759243,329759243,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329782799,329782799,18,255,0,0,0,1493,1494,982,1494,1493,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329803452,329803452,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329823574,329823574,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329847569,329847569,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329870759,329870759,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329890779,329890779,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329911938,329911938,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329931958,329931958,18,255,0,0,0,1494,1492,982,1495,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329954775,329954775,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329976295,329976295,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329996392,329996392,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330016783,330016783,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330037312,330037312,18,255,0,0,0,1494,1492,982,1495,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330061247,330061247,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330084413,330084413,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330104448,330104448,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330125506,330125506,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330148634,330148634,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330168778,330168778,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330192396,330192396,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330213304,330213304,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330233766,330233766,18,255,0,0,0,1494,1494,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330257453,330257453,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330280717,330280717,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330300751,330300751,18,255,0,0,0,1493,1492,982,1494,1493,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330321642,330321642,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330345429,330345429,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330365525,330365525,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330389584,330389584,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330413845,330413845,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330435241,330435241,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330458688,330458688,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330485442,330485442,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330507088,330507088,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330531005,330531005,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330555019,330555019,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330578581,330578581,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330602428,330602428,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330626330,330626330,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330646433,330646433,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330670205,330670205,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330695251,330695251,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330719005,330719005,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330741852,330741852,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330763253,330763253,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330786619,330786619,18,255,0,0,0,1493,1494,982,1494,1493,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330806744,330806744,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330830023,330830023,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330850621,330850621,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330876207,330876207,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330896791,330896791,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330917260,330917260,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330936763,330936763,18,255,0,0,0,1493,1492,982,1494,1493,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330960522,330960522,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
330983618,330983618,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
331003633,331003633,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
331024496,331024496,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
331047558,331047558,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
331071888,331071888,18,255,0,0,0,1494,1492,982,1495,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
331096628,331096628,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
331120221,331120221,18,255,0,0,0,1494,1494,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
